fold_run_id,fold_id,method_name,export_role,sample_count,representation_sha256,archive_valid
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,contiformer,train,19,4f2e359b4d956275675def13cc018efa2568fc512af0e712133d10672568dfc3,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,contiformer,validation,7,d40579caf53ba9c0c73d99f5d9d1f57d5e43dfc0e071f0c4393fa63067889194,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,contiformer,held_out,62,8d971a337fd197a43863d237d4f6a1c559a4fc902dfdedd01ec0e6297d684867,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,chronaris,train,19,f22e77e0ec11f93ba55cca1400b3edd1c3dba67bef6553fdc4b878c6a4623b10,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,chronaris,validation,7,17b4868c4fd8e7eb6684f694480ca117a15eb55fe8f4e05241e2db7b58aaa857,True
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,chronaris,held_out,62,ab3e28a86e00582227f6c3339ee4374ad4336bb8e9f6fd10087d0cc3e2688689,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,physiology_only,train,38,c4a1dfe0e96de60a4950afc16e74b69dd5e5ad84565d7414633f231670a0cc58,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,physiology_only,validation,14,e2a27c1b4fb3163adb4864cdcbba79f3d88c66a539faf58b77ff5941882899a2,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,physiology_only,held_out,31,0011db53632c4a384d2fa9670228a7deabc24ed10fbc29e7c95894b70fa0ffda,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,vehicle_only,train,38,b40cbff337aaa299c547da752cb407908eb535f8397c45d9bfbfaefb1b4f1c84,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,vehicle_only,validation,14,95be6ccdb14a1c35b7263f924239af291da0aca053525573300de6c7068d5eba,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,vehicle_only,held_out,31,25fec5d2f603b121efeeb37dcb7e728c33890a0dc85f07a60a77083081782ec0,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,naive_time_sync,train,38,67a1584b126d5bc06f472bd7fd55d9e23d8676dc3f9946e49cdac9d37899ccdd,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,naive_time_sync,validation,14,ffa7f6a445fa2d88d761c761d4549ebdba68049332e021d6c22187c3e35ca76a,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,naive_time_sync,held_out,31,77c02fcdc9f98b0ffaa219ed93e9107d42a39e7a5c81027ea610a353c58926b6,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,mult,train,38,77f264189f6dc142c270e7ae212c719af62cf7a601e78e318b5dedba399580cf,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,mult,validation,14,d6068de1eadddaafa9792cd833669b768a6aa154c30b856614de5a87a2d8cbbb,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,mult,held_out,31,ba5eda6a634d26d0e6c13ec869e627b52e521046619f3cdbb9a8d3c7de473fc2,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,contiformer,train,38,a2f27e6cccadf82da2a6370b925b5f62636018b89e0c79819a589b8f6327bf30,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,contiformer,validation,14,2dd836a58985c5ae0155dc8453e9db5e7706c75d8943322d653c053be3cd5e23,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,contiformer,held_out,31,bc2de3c2961ede271debf3ee35d71fc8e041f48a7d9928a5d56ace4e5fc8dc23,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,chronaris,train,38,543ec7fc26b2ff0ee2e96da315ed2908ee2d91462f73944aa87f2e56ab06d573,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,chronaris,validation,14,b58b4501a6da2fc11f06a7862c316255152725676f5c2dc53ae57d7f6df06058,True
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,chronaris,held_out,31,2d96f61cc66a2d73db744ce5041895286052e0485e6be03796d8db801681b510,True
