dataset_id,task_group,metric,variant_id,ablation_family,value_mean,value_std,value_count,full_value_mean,full_value_std,full_value_count,delta_abs_mean,delta_abs_std,delta_abs_count,delta_rel_pct_mean,delta_rel_pct_std,delta_rel_pct_count
uab_workload_dataset,uab_mean,mean_rmse,no_lag_window,lag_window,3.3560502358302875,,1,3.2790898239427975,,1,0.07696041188749003,,1,2.3470052977979226,,1
uab_workload_dataset,n_back,n_back_rmse,no_event_bias,event_bias,5.3207135151237415,,1,5.095746345036021,,1,0.22496717008772027,,1,4.41480314864711,,1
uab_workload_dataset,n_back,n_back_mae,no_event_bias,event_bias,4.2026200811796315,,1,4.02003209081047,,1,0.18258799036916162,,1,4.541953552722771,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,no_event_bias,event_bias,1.4617028661940008,,1,1.4624333028495735,,1,-0.0007304366555727082,,1,-0.04994666451792648,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,no_event_bias,event_bias,1.1649203065125382,,1,1.165638424850562,,1,-0.000718118338023821,,1,-0.06160729800202715,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,no_event_bias,event_bias,0.3391612358555358,,1,0.35769931913332215,,1,0.018538083277786332,,1,5.465861459970191,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,no_event_bias,event_bias,0.36396789841037475,,1,0.38119125559337164,,1,0.01722335718299689,,1,4.7321088640563325,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,no_event_bias,event_bias,0.5079202356425306,,1,0.5072638744453764,,1,-0.0006563611971542871,,1,-0.129225250560056,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,no_event_bias,event_bias,0.5347752791024497,,1,0.534479361946246,,1,-0.0002959171562036955,,1,-0.05533486078495508,,1
uab_workload_dataset,uab_mean,mean_rmse,no_event_bias,event_bias,3.391208190658871,,1,3.2790898239427975,,1,0.11211836671607367,,1,3.4191916884198634,,1
uab_workload_dataset,n_back,n_back_rmse,no_target_transform,target_transform,5.399251492917774,,1,5.095746345036021,,1,0.30350514788175253,,1,5.9560489736191355,,1
uab_workload_dataset,n_back,n_back_mae,no_target_transform,target_transform,4.223455458063551,,1,4.02003209081047,,1,0.2034233672530812,,1,5.0602423726440815,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_rmse,no_target_transform,target_transform,1.4670073060858313,,1,1.4624333028495735,,1,0.004574003236257784,,1,0.3127666217218433,,1
uab_workload_dataset,heat_the_chair,heat_the_chair_mae,no_target_transform,target_transform,1.1581303389195134,,1,1.165638424850562,,1,-0.007508085931048569,,1,-0.6441179160691384,,1
uab_workload_dataset,n_back_macro,n_back_macro_f1,no_target_transform,target_transform,0.3414769061012817,,1,0.35769931913332215,,1,0.016222413032040472,,1,4.750661828717905,,1
uab_workload_dataset,n_back_balanced,n_back_balanced_accuracy,no_target_transform,target_transform,0.3631224603848444,,1,0.38119125559337164,,1,0.018068795208527222,,1,4.9759508649995245,,1
uab_workload_dataset,heat_the_chair_macro,heat_the_chair_macro_f1,no_target_transform,target_transform,0.5089858489119459,,1,0.5072638744453764,,1,-0.0017219744665695202,,1,-0.3383148019243695,,1
uab_workload_dataset,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,no_target_transform,target_transform,0.5337776426458896,,1,0.534479361946246,,1,0.0007017193003564515,,1,0.13146284975108544,,1
uab_workload_dataset,uab_mean,mean_rmse,no_target_transform,target_transform,3.4331293995018024,,1,3.2790898239427975,,1,0.15403957555900494,,1,4.697632081752088,,1
