stage,dataset_id,variant_id,ablation_family,seed,summary_path,artifact_root,evidence_role,data_role,task_group,metric,value
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1847933916046338
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.3414769061012817
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.3631224603848444
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5089858489119459
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5337776426458896
confirm,uab_workload_dataset,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.308150186558759
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.245713527577499
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.150049082706442
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4663869440830752
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1649189045762314
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.32162718257845907
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.3453303333854963
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5299135774836304
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5418798652222008
confirm,uab_workload_dataset,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.3560502358302875
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.3207135151237415
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.2026200811796315
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4617028661940008
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1649203065125382
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.3391612358555358
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.36396789841037475
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5079202356425306
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5347752791024497
confirm,uab_workload_dataset,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.391208190658871
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,5.399251492917774
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,4.223455458063551
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4670073060858313
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1581303389195134
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.3414769061012817
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.3631224603848444
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.5089858489119459
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5337776426458896
confirm,uab_workload_dataset,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.4331293995018024
