seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only,selected_alpha
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.3958333333333333,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.599229992596945,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.5884160635372003,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7904238520758569,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.5625,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.201825132463576,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.481205474779052,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.4166666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6057933002924208,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,1.1222837585955858,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,1.328087215493489,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.20833333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.117901461927102,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.342552374184356,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.3541666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5933230156710168,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,1.1058115658039849,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,1.3163465947574464,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.20833333333333334,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.170763231346065,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.429457814923246,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.375,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6097312849097063,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,3.139330353587866,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,3.2175426492034473,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.0949000037234065,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.2777100720928525,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.2916666666666667,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_-3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5591938156545423,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,3.0820505109926066,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,3.166415867328343,lower,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False,1.0
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,4.276922540892218,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,5.568158803394113,lower,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.3958333333333333,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_offset_+3.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.6169509233747298,higher,True,48,2.0,False,0.1
17,chronaris_no_continuous_evolution,clock_drift_+000ppm,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.547079394881924,lower,True,48,0.5,False,1.0
