sortie_id,feature_name,display_label,semantic_key,is_maneuver_label_source,allowed_in_maneuver_raw_input,raw_overlap_detected,existing_projection_contamination_risk,exclusion_reason
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1313,[IFF空空询问目标参数[18]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1322,[IFF空空询问目标参数[18]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1323,[IFF空空询问目标参数[18]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1324,[IFF空空询问目标参数[18]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1325,[IFF空空询问目标参数[18]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1326,[IFF空空询问目标参数[18]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1327,[IFF空空询问目标参数[18]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1328,[IFF空空询问目标参数[18]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1329,[IFF空空询问目标参数[18]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1330,[IFF空空询问目标参数[19]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1339,[IFF空空询问目标参数[19]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1340,[IFF空空询问目标参数[19]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1341,[IFF空空询问目标参数[19]][目标高度][_高度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1342,[IFF空空询问目标参数[19]][敌我识别_识别码],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1343,[IFF空空询问目标参数[19]][目标方位角精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1344,[IFF空空询问目标参数[19]][目标斜距精度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1345,[IFF空空询问目标参数[19]][IFF主波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1346,[IFF空空询问目标参数[19]][IFF辅波束指向],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1347,[IFF空空询问目标参数[20]][IFF目标序号],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1356,[IFF空空询问目标参数[20]][目标方位_机体系][_角度_毫弧度],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1357,[IFF空空询问目标参数[20]][目标斜距][_距离],,False,True,False,False,
20251002_单01_ACT-8_翼云_J16_12#01,BUS6000019110021.code1358,[IFF空空询问目标参数[20]][目标高度][_高度],,False,True,False,False,
