sortie_id,analysis_id,measurement,source_field,feature_name,display_label,metadata_source
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1055,BUS6000019110021.code1055,[IFF空空询问目标参数[2]][目标斜距精度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1056,BUS6000019110021.code1056,[IFF空空询问目标参数[2]][IFF主波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1057,BUS6000019110021.code1057,[IFF空空询问目标参数[2]][IFF辅波束指向],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1058,BUS6000019110021.code1058,[IFF空空询问目标参数[3]][IFF目标序号],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1059,BUS6000019110021.code1059,[IFF空空询问目标参数[3]][IFF目标敌我属性],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1060,BUS6000019110021.code1060,[IFF空空询问目标参数[3]][IFF询问_交织状态],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1061,BUS6000019110021.code1061,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_目标方位],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1062,BUS6000019110021.code1062,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_目标距离],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1063,BUS6000019110021.code1063,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_目标高度],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1064,BUS6000019110021.code1064,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_目标识别码],analysis_detail
20251002_单01_ACT-8_翼云_J16_12#01,6000019110021,BUS6000019110021,code1065,BUS6000019110021.code1065,[IFF空空询问目标参数[3]][IFF空空询问目标参数有效性][有效性_主波束指向],analysis_detail
