task_name,split_strategy,metric,model_name,value,source
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,v2_no_contrastive_t3_loss,0.0855855855855856,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,chronaris_v2_task_heads,0.1396396396396396,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,v2_no_vehicle_aux_head,0.1396396396396396,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,v2_no_residual_t2_head,0.1396396396396396,P34
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,v2_no_contrastive_t3_loss,0.1396396396396396,P34
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,chronaris_v3_stream_role_fusion,0.1882095817050224,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,chronaris_v3_stream_role_fusion,0.3447293447293447,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,chronaris_v3_stream_role_fusion,0.2438753774492697,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,chronaris_v3_stream_role_fusion,0.3482905982905982,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,v3_no_role_gate,0.1886035927373313,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,v3_no_role_gate,0.3447293447293447,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,v3_no_role_gate,0.2438753774492697,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,v3_no_role_gate,0.3482905982905982,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,v3_fixed_causal_lag,0.1886035927373313,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,v3_fixed_causal_lag,0.3447293447293447,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,v3_fixed_causal_lag,0.2438753774492697,P35_v3_confirm
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,v3_fixed_causal_lag,0.3482905982905982,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,rmse,chronaris_v3_stream_role_fusion,342.69094693916577,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,mae,chronaris_v3_stream_role_fusion,271.32993570963544,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,nrmse,chronaris_v3_stream_role_fusion,2.226762639151679,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,rmse,chronaris_v3_stream_role_fusion,412.69021997100623,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,mae,chronaris_v3_stream_role_fusion,313.6324971516927,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,chronaris_v3_stream_role_fusion,2.0415525436401367,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,rmse,v3_no_role_gate,342.69094693916577,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,mae,v3_no_role_gate,271.32993570963544,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,nrmse,v3_no_role_gate,2.226762639151679,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,rmse,v3_no_role_gate,412.69021997100623,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,mae,v3_no_role_gate,313.6324971516927,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,v3_no_role_gate,2.0415525436401367,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,rmse,v3_fixed_causal_lag,342.69094693916577,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,mae,v3_fixed_causal_lag,271.32993570963544,P35_v3_confirm
T2_next_window_physiology_response,leave_one_view_out,nrmse,v3_fixed_causal_lag,2.226762639151679,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,rmse,v3_fixed_causal_lag,412.69021997100623,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,mae,v3_fixed_causal_lag,313.6324971516927,P35_v3_confirm
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,v3_fixed_causal_lag,2.0415525436401367,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,chronaris_v3_stream_role_fusion,0.0315315315315315,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,chronaris_v3_stream_role_fusion,0.0900900900900901,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,chronaris_v3_stream_role_fusion,0.1441441441441441,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,chronaris_v3_stream_role_fusion,0.1200662726942576,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,v3_no_role_gate,0.0315315315315315,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,v3_no_role_gate,0.0900900900900901,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,v3_no_role_gate,0.1441441441441441,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,v3_no_role_gate,0.1200662726942576,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top1,v3_fixed_causal_lag,0.0315315315315315,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top3,v3_fixed_causal_lag,0.0900900900900901,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,top5,v3_fixed_causal_lag,0.1441441441441441,P35_v3_confirm
T3_paired_pilot_window_retrieval,leave_one_view_out,mrr,v3_fixed_causal_lag,0.1200662726942576,P35_v3_confirm
