evidence_quadrant,dataset_role,dataset_id,task_group,model_or_component,metric,value,baseline,delta_abs,delta_rel_pct,protocol,artifact_path,figure_path,midterm_use,wording_boundary
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,mae,992.5238629050956,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,chronaris_full,nrmse,11.316336677838498,,,,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,rmse,344.28897466792205,chronaris_full,-493.8320645162929,-143.43534090588005,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,mae,273.38187323676215,chronaris_full,-489.1760267366204,-178.93506286459962,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,nrmse,2.237883859210544,chronaris_full,-6.543103159446615,-292.379031758816,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,rmse,413.4297629979357,chronaris_full,-698.5491783488524,-168.96441448322634,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,mae,314.74521891276044,chronaris_full,-677.778643992335,-215.3419983101311,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,mult,nrmse,2.042551100254059,chronaris_full,-9.27378557758444,-454.0295504201064,leakage_safe_v1/leave_one_sortie_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,rmse,344.3351099592478,chronaris_full,-493.7859292249672,-143.40272453872245,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
private_thirdparty_comparison,private_real_dual_stream,private_feature_export,T2_next_window_physiology_response,contiformer,mae,273.5298546685113,chronaris_full,-489.0280453048712,-178.78415718003453,leakage_safe_v1/leave_one_view_out,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png,private model comparison,T1/T2/T3 proxy tasks on private real dual-stream feature export data
