stage,dataset_id,candidate_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_22,301,0.45765765765765765,0.4976819145178382,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_23,324,0.47617987317875987,0.48238993710691824,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_24,330,0.46096866096866096,0.4719237562555196,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_25,428,0.6965615030131159,0.6965615030131159,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,heat_the_chair,subject_26,321,0.45129392418210146,0.49918414918414916,,
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_01,1888,,,8.06029216656177,7.199657303959889
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_02,1876,,,5.023844885447219,4.4204196417446076
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_03,1642,,,6.526152578073849,5.658335307048096
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_04,2145,,,6.197495229171079,3.851475551522973
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_05,1805,,,6.345209336259602,5.126138904550399
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_06,1721,,,7.160820924022841,6.407929612757646
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_07,1650,,,3.388881857938501,2.469719379309452
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_08,1710,,,5.26530791462339,4.436664743033069
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_09,1628,,,4.585998458299754,4.182097177247743
confirm,uab_workload_dataset,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,subjective,n_back,subject_10,1537,,,2.453933274920191,2.039011705208693
