split_id,candidate_id,task,minimum,median,mean,maximum,lower_saturation_fraction,upper_saturation_fraction,outer_test_opened
leave_one_view_out__fold01__candidate_340,conditional015_residual_task,high_response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task,high_response,0.3313598930835724,0.38023577630519867,0.3809077913562457,0.42963021993637085,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task_distill,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task_distill,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task_distill,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional015_residual_task_distill,high_response,0.23978325724601746,0.2648833394050598,0.26282935589551926,0.28441500663757324,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task_distill,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task_distill,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task_distill,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,conditional025_residual_task_distill,high_response,0.3625417947769165,0.4068307429552078,0.4046705315510432,0.43674328923225403,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global025_residual_task_distill,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global025_residual_task_distill,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global025_residual_task_distill,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_340,global025_residual_task_distill,high_response,0.2518778145313263,0.2518778145313263,0.2518778145313263,0.2518778145313263,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed015_full_shared,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed015_full_shared,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed015_full_shared,response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed015_full_shared,high_response,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed025_residual_task,response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,fixed025_residual_task,high_response,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,global015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,global015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,global015_residual_task,response,0.1564524918794632,0.1564524918794632,0.1564524918794632,0.1564524918794632,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,global015_residual_task,high_response,0.15371759235858917,0.15371759235858917,0.15371759235858917,0.15371759235858917,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional015_residual_task,maneuver,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional015_residual_task,maneuver_score,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional015_residual_task,response,0.30295848846435547,0.36855439841747284,0.38018055260181427,0.4627305567264557,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional015_residual_task,high_response,0.20653969049453735,0.23436783999204636,0.24094870065649351,0.3312203288078308,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional025_residual_task,maneuver,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional025_residual_task,maneuver_score,0.25,0.25,0.25,0.25,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional025_residual_task,response,0.3781299293041229,0.4621066153049469,0.45177924633026123,0.4914332926273346,0.0,0.0,False
leave_one_view_out__fold01__candidate_353,conditional025_residual_task,high_response,0.28833532333374023,0.3195086717605591,0.32060685753822327,0.3677123785018921,0.0,0.0,False
