dataset_id,task_group,task_type,metric_name,metric_direction,model_family,model_name,value,sample_count,fold_count,protocol,evidence_role,source_path
uab_workload_dataset,n_back,regression,rmse,lower_is_better,classical_baseline,classical_baseline,10.223413421909578,28052.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,mae,lower_is_better,classical_baseline,classical_baseline,4.798697119158675,28052.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,rmse,lower_is_better,classical_baseline,classical_baseline,1.8639105911346199,5440.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,mae,lower_is_better,classical_baseline,classical_baseline,1.2785132457477062,5440.0,,classical_loso_reference,classical_full_loso_reference,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-01_full-loso-deep-comparison/uab_workload_dataset/contiformer/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,rmse,lower_is_better,public_baseline,public_adapter_current,4.610314175862912,,,public_mainline_best_of,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
uab_workload_dataset,n_back,regression,mae,lower_is_better,public_baseline,public_adapter_current,3.8042500756744353,,,public_mainline_best_of,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
uab_workload_dataset,heat_the_chair,regression,rmse,lower_is_better,public_baseline,public_adapter_current,1.433140268927459,,,public_mainline_best_of,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
uab_workload_dataset,heat_the_chair,regression,mae,lower_is_better,public_baseline,public_adapter_current,1.073958345604878,,,public_mainline_best_of,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
nasa_csm,benchmark_only,classification,macro_f1,higher_is_better,public_baseline,public_adapter_current,0.7445135090687961,1451.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,benchmark_only,classification,balanced_accuracy,higher_is_better,public_baseline,public_adapter_current,0.758165694976977,1451.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,loft_only,classification,macro_f1,higher_is_better,public_baseline,public_adapter_current,0.3643360690716937,1359.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,loft_only,classification,balanced_accuracy,higher_is_better,public_baseline,public_adapter_current,0.39925281706885657,1359.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,combined,classification,macro_f1,higher_is_better,public_baseline,public_adapter_current,0.4549915569394342,2810.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,combined,classification,balanced_accuracy,higher_is_better,public_baseline,public_adapter_current,0.5590685276024547,2810.0,,public_mainline_round1,public_adapter_calibration_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
nasa_csm,benchmark_only,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_current,0.598530591492866,1451.0,17.0,full_loso_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-09_public-fusion-nasa-full-confirm/deep_baseline_summary.json
