seed,method,task,consumer,metric,stress_factor,source_direction,direction_normalized,level_count,minimum_level,maximum_level,baseline_score,maximum_stress_score,maximum_stress_change,degradation_slope
29,physiology_only,simulated_future_workload_classification,linear,ece_10_bins,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.3366130076026986,-0.40702785906115335,-0.07041485145845477,-0.060365530446247255
29,physiology_only,simulated_future_workload_classification,linear,ece_10_bins,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.3366130076026986,-0.2790576920236415,0.057555315579057076,0.044773004526764644
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.3384596783816849,0.3418732663653987,0.0034135879837138283,0.002467503712724738
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.3384596783816849,0.3495905504741066,0.011130872092421695,0.009673708737125225
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.3358768214022379,0.36746695608466,0.03159013468242211,0.03445784643104005
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.3384596783816849,0.3385879344108593,0.0001282560291744339,-0.002324028779629104
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.3384596783816849,0.34533731846022137,0.006877640078536473,0.019326536308932468
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.3384596783816849,0.3405286917572256,0.002069013375540718,0.0020730126273116687
29,physiology_only,simulated_future_workload_classification,linear,macro_auprc,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.3384596783816849,0.3409607771855439,0.0025010988038590143,0.0018695843689911834
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.326078697421981,0.3417645391057692,0.015685841683788226,0.01397602716201236
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.326078697421981,0.32777832589413664,0.0016996284721556565,0.000378693557130726
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.3469230526349026,0.33736447039199335,-0.00955858224290923,-0.014365303876970851
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.326078697421981,0.3331521005649064,0.007073403142925427,0.016656945214104102
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.326078697421981,0.36274718255022914,0.03666848512824816,0.042817686189568355
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.326078697421981,0.32681655262300424,0.0007378552010232631,-0.005484556745978437
29,physiology_only,simulated_future_workload_classification,linear,macro_f1,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.326078697421981,0.34660546949703575,0.020526772075054767,0.020515594886819814
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.416616866080927,0.4461253025120687,0.029508436431141705,0.021077454593672877
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.416616866080927,0.4540107484498243,0.03739388236889729,0.031567404861480346
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.41131893142777215,0.2117393755218466,-0.19957955590592555,-0.19244510439715445
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.416616866080927,0.3776622121632103,-0.03895465391771674,-0.04421928726733743
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.416616866080927,0.455266358962622,0.038649492881695,0.04394232715030217
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.416616866080927,0.3333333333333333,-0.0832835327475937,-0.085765660030348
29,physiology_only,simulated_future_workload_classification,minirocket,balanced_accuracy,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.416616866080927,0.4727431857964491,0.056126319715522066,0.04580402921980414
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.9124426550416965,-0.8252495717813753,0.08719308326032127,0.06241713644815337
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.9124426550416965,-0.9181084405034572,-0.005665785461760664,-0.038348126488369376
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.9849824387225992,-1.3109007919069868,-0.32591835318438767,-0.331817023152364
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.9124426550416965,-0.9981806354844988,-0.08573798044280223,-0.08759805834576244
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.9124426550416965,-0.8787061169819657,0.03373653805973087,0.0188667707152019
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.9124426550416965,-0.7924286787652873,0.1200139762764092,0.04499830432807568
29,physiology_only,simulated_future_workload_classification,minirocket,brier_score,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.9124426550416965,-0.8052427422530455,0.10719991278865104,0.08374156700884167
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.400763686938584,-0.313757210592865,0.08700647634571901,0.062175779071748885
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.400763686938584,-0.3656910641371547,0.03507262280142931,0.0003906069892742705
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.4131868294826627,-0.6020782369398161,-0.18889140745715338,-0.19317670284575575
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.400763686938584,-0.4478660840181913,-0.04710239707960728,-0.05720791718314635
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.400763686938584,-0.33252243468865117,0.06824125224993283,0.06150059743245677
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.400763686938584,-0.36071814177807177,0.04004554516051223,-0.018247013352771728
29,physiology_only,simulated_future_workload_classification,minirocket,ece_10_bins,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.400763686938584,-0.2922136733024745,0.1085500136361095,0.08582164276179712
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.4577336392442535,0.4512665532708581,-0.006467085973395403,-0.0048329931690245485
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.4577336392442535,0.43909587123214255,-0.018637768012110922,-0.02008783690602736
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.4208078410011513,0.2955244280948328,-0.1252834129063185,-0.12146553320530151
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.4577336392442535,0.4175065853622864,-0.04022705388196707,-0.044297822075602095
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.4577336392442535,0.43710434199736153,-0.020629297246891942,-0.025415820362611287
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.4577336392442535,0.35411589152335576,-0.10361774772089771,-0.1093538247858103
29,physiology_only,simulated_future_workload_classification,minirocket,macro_auprc,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.4577336392442535,0.44142722953336294,-0.016306409710890535,-0.01389882963253896
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.3810876074567759,0.4202666418324649,0.03917903437568904,0.02784559470365416
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.3810876074567759,0.41262836008951415,0.031540752632738256,0.01941015650048219
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.37200824862793497,0.17634856510520644,-0.19565968352272853,-0.1987748975542041
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.3810876074567759,0.34878678645256894,-0.03230082100420695,-0.03611618928037036
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.3810876074567759,0.4170350067654304,0.03594739930865454,0.03795019925597724
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.3810876074567759,0.12198581560283688,-0.259101791853939,-0.26505179528765294
29,physiology_only,simulated_future_workload_classification,minirocket,macro_f1,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.3810876074567759,0.44258653926745445,0.06149893181067856,0.04782589816569595
29,physiology_only,simulated_future_workload_regression,linear,mae,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.20892199237520495,-0.24111589044332504,-0.03219389806812009,-0.02299544501251411
29,physiology_only,simulated_future_workload_regression,linear,mae,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.20892199237520495,-0.20933168319364387,-0.0004096908184389181,0.012687896711515654
29,physiology_only,simulated_future_workload_regression,linear,mae,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.21250184020027518,-0.2640951438806951,-0.05159330368041992,-0.05213747336691562
29,physiology_only,simulated_future_workload_regression,linear,mae,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.20892199237520495,-0.2841604064839582,-0.07523841410875323,-0.07550226888131543
29,physiology_only,simulated_future_workload_regression,linear,mae,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.20892199237520495,-0.23195756366476417,-0.023035571289559215,-0.02148630594739964
29,physiology_only,simulated_future_workload_regression,linear,mae,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.20892199237520495,-0.21046003249163428,-0.001538040116429329,-0.0011781888019483338
29,physiology_only,simulated_future_workload_regression,linear,mae,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.20892199237520495,-0.24107192503288388,-0.03214993265767893,-0.02411359468428501
29,physiology_only,simulated_future_workload_regression,linear,rmse,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.2448936848953522,-0.2795453715773375,-0.03465168668198529,-0.024750813653428082
29,physiology_only,simulated_future_workload_regression,linear,rmse,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.2448936848953522,-0.24589283547122154,-0.0009991505758693286,0.013102516667885773
29,physiology_only,simulated_future_workload_regression,linear,rmse,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.2483351447471068,-0.3132205711401836,-0.06488542639307679,-0.06544471814095014
29,physiology_only,simulated_future_workload_regression,linear,rmse,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.2448936848953522,-0.3575818048488711,-0.11268811995351888,-0.11320817743449048
29,physiology_only,simulated_future_workload_regression,linear,rmse,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.2448936848953522,-0.27199523439552764,-0.02710154950017543,-0.026054967011629012
29,physiology_only,simulated_future_workload_regression,linear,rmse,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.2448936848953522,-0.2457765964842136,-0.0008829115888613903,-0.0006153865742447223
29,physiology_only,simulated_future_workload_regression,linear,rmse,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.2448936848953522,-0.2795040639889541,-0.0346103790936019,-0.026005972265944956
29,physiology_only,simulated_future_workload_regression,linear,spearman,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.2662910075359541,0.21468775206838397,-0.05160325546757011,-0.03681950359490945
29,physiology_only,simulated_future_workload_regression,linear,spearman,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.2662910075359541,0.25062107101850273,-0.015669936517451355,0.006362159032711509
29,physiology_only,simulated_future_workload_regression,linear,spearman,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.23660082459074597,-0.12299261920516733,-0.3595934437959133,-0.36380172945833156
29,physiology_only,simulated_future_workload_regression,linear,spearman,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.2662910075359541,0.10805300540728015,-0.15823800212867395,-0.1514924627074441
29,physiology_only,simulated_future_workload_regression,linear,spearman,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.2662910075359541,0.20208703598759212,-0.06420397154836197,-0.053257442857228936
29,physiology_only,simulated_future_workload_regression,linear,spearman,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.2662910075359541,0.2912940699745221,0.025003062438568036,0.023068993560091247
29,physiology_only,simulated_future_workload_regression,linear,spearman,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.2662910075359541,0.220335355037318,-0.04595565249863609,-0.03492140667795778
29,physiology_only,simulated_future_workload_regression,minirocket,mae,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.20817926820988455,-0.20755319638798636,0.0006260718218981942,0.00045526467840222744
29,physiology_only,simulated_future_workload_regression,minirocket,mae,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.20817926820988455,-0.20985118361810842,-0.0016719154082238674,-0.0021695939692814087
29,physiology_only,simulated_future_workload_regression,minirocket,mae,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.21334196052824458,-0.30798904116575915,-0.09464708063751456,-0.09170707825680395
29,physiology_only,simulated_future_workload_regression,minirocket,mae,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.20817926820988455,-0.2799465361361702,-0.07176726792628565,-0.06996820678579671
29,physiology_only,simulated_future_workload_regression,minirocket,mae,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.20817926820988455,-0.24079052840049067,-0.03261126019060612,-0.03514792725422785
29,physiology_only,simulated_future_workload_regression,minirocket,mae,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.20817926820988455,-1.0119637876438599,-0.8037845194339753,-0.7389244617694346
29,physiology_only,simulated_future_workload_regression,minirocket,mae,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.20817926820988455,-0.20547591196373105,0.0027033562461535043,0.0032706836596808576
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.2535768002747029,-0.2561666739041233,-0.0025898736294203695,-0.001859149397530526
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.2535768002747029,-0.25565703429986697,-0.0020802340251640516,-0.0014929788296287616
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.2533516159103874,-0.3489670698885536,-0.09561545397816618,-0.09312937314554773
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.2535768002747029,-0.3620250883505689,-0.10844828807586598,-0.10200105316485295
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.2535768002747029,-0.3009482453736231,-0.04737144509892016,-0.04834980218085958
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.2535768002747029,-1.0953983157930256,-0.8418215155183226,-0.7737809011814197
29,physiology_only,simulated_future_workload_regression,minirocket,rmse,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.2535768002747029,-0.2521273320935223,0.0014494681811806354,0.0017258438434983741
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.5031927776466598,0.4085204034704897,-0.09467237417617014,-0.06794798813681825
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.5031927776466598,0.42158059130288195,-0.08161218634377787,-0.04093644717760834
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.41939004701111887,-0.2930768542800863,-0.7124669012912052,-0.6957271122291311
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.5031927776466598,0.31035875673050495,-0.19283402091615487,-0.18272927552605475
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.5031927776466598,0.3437348864948252,-0.15945789115183462,-0.16962809678527285
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.5031927776466598,0.18049864553324294,-0.3226941321134169,-0.3751746771781309
29,physiology_only,simulated_future_workload_regression,minirocket,spearman,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.5031927776466598,0.4086051768563938,-0.09458760079026601,-0.07222307824462587
29,physiology_only,simulated_maneuver_state_segmentation,causal_tcn_duration,boundary_detection_delay_s,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-6.540441176470588,-5.325052804579313,1.215388371891275,0.8699274371799403
