dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,macro_f1,0.5276601486278906,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,balanced_accuracy,0.5288973712018287,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,macro_auprc,0.5366082520532361,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,brier_score,0.6469060858330902,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,ece_10_bins,0.2419117426934307,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,mae,0.12345989048480988,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,rmse,0.157327439984369,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,spearman,0.6005832881172002,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,macro_f1,0.6334122140573754,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,balanced_accuracy,0.6377261650600591,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,macro_auprc,0.6081044575704538,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,brier_score,0.586191482737317,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,ece_10_bins,0.21609887184979681,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,mae,0.12389261151353519,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,29,simulation_g1_to_g2_ablation__seed_29,validation,rmse,0.14888263202258617,lower,available,,False
