split_id,split_kind,field_name,selected_field_count,mean_jaccard_to_main_splits,train_iqr,validation_iqr,validation_to_train_iqr_ratio,train_mean,validation_mean,validation_to_train_mean_ratio,fit_role,outer_test_opened
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.fp1,11,0.9166666666666666,54.613685607910156,87.70264101028442,1.6058729608532722,56.89822222391764,84.7440195719401,1.4893966148614963,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.fp2,11,0.9166666666666666,65.9208984375,89.78973388671875,1.3620829814971187,88.89697265625,90.1386006673177,1.013967044928165,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.fpz,11,0.9166666666666666,47.955810546875,92.874267578125,1.9366634933079465,58.772314453125,93.1982421875,1.5857507578986372,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,spo2.toi1,11,0.9166666666666666,0.8450689315795898,0.5917949676513672,0.700291947244106,0.6950598398844401,0.6572603861490885,0.9456169791918405,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,spo2.toi2,11,0.9166666666666666,0.5324363708496094,0.717437744140625,1.3474619380261508,0.5547894795735677,0.5099599202473958,0.9191953687358497,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.af3,11,0.9166666666666666,47.94167709350586,73.49812316894531,1.5330736767008368,62.450767262776694,82.14637171427408,1.3153781020595532,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.af4,11,0.9166666666666666,70.07832336425781,80.58083724975586,1.1498682243139204,73.63781331380208,83.6689016977946,1.1362219752675948,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.f3,11,0.9166666666666666,77.4793701171875,65.482177734375,0.8451562994811812,69.9400390625,56.154622395833336,0.8028966404444283,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.f4,11,0.9166666666666666,63.221923828125,84.43084716796875,1.3354678575979795,63.98257649739583,60.143697102864586,0.9400011752467097,inner_train,False
legacy_diagnostic__leave_one_view_out__fold02,distribution_pressure_diagnostic,eeg.f7,11,0.9166666666666666,46.04179239273071,91.12805211544037,1.979246405920289,57.32923596700032,80.3556289990743,1.4016518386068908,inner_train,False
