dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,rmse,0.2155466603388784,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,spearman,0.7149049838698084,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,frame_macro_f1,0.46594699698425057,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.10,0.5593369252848258,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.25,0.44240320585739507,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.50,0.2966994156102612,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_f1_1s,0.21727798940574675,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_f1_2s,0.32871100083875815,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,edit_score,0.49812327429514935,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_detection_delay_s,2.5026483050847457,lower,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,frame_macro_f1,0.4886482417145139,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.10,0.677321800334813,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.25,0.5480126894769891,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,segmental_f1_iou_0.50,0.36361051972265207,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_f1_1s,0.20265665299648464,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_f1_2s,0.35299837770087383,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,edit_score,0.6793461312992563,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_continuous_evolution,43,simulation_g1_to_g2_ablation__seed_43,held_out,boundary_detection_delay_s,2.662206744868035,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_physics,43,simulation_g1_to_g2_ablation__seed_43,validation,macro_f1,0.5511909099601264,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_physics,43,simulation_g1_to_g2_ablation__seed_43,validation,balanced_accuracy,0.5532121368959048,higher,available,,False
