stage,dataset_id,variant_id,seed,track,evaluation_group,fold_index,split_group,batch_size,batch_count,train_loss,tensor_cache_mode,amp_mode,compile_status
screen,uab_workload_dataset,context_only,42,objective,heat_the_chair,2,subject_02,2048,15,0.6953125,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,subjective,n_back,1,subject_01,2048,65,0.431172815652994,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,subjective,n_back,2,subject_02,2048,65,0.4301066604944376,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,subjective,heat_the_chair,1,subject_01,2048,15,0.4137026369571686,cuda,bf16,off
screen,uab_workload_dataset,context_only,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4264026482899983,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,objective,n_back,1,subject_01,2048,65,1.0955528846153846,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,objective,n_back,2,subject_02,2048,65,1.0973557692307692,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,objective,heat_the_chair,1,subject_01,2048,15,0.6848958333333334,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,objective,heat_the_chair,2,subject_02,2048,15,0.6861979166666666,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,subjective,n_back,1,subject_01,2048,65,0.4264651605716118,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,subjective,n_back,2,subject_02,2048,65,0.4220898541120382,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,subjective,heat_the_chair,1,subject_01,2048,15,0.41466224193573,cuda,bf16,off
screen,uab_workload_dataset,no_causal_fusion,42,subjective,heat_the_chair,2,subject_02,2048,15,0.4257641931374867,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,objective,n_back,1,subject_01,2048,65,1.0949519230769231,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,objective,n_back,2,subject_02,2048,65,1.0967548076923077,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,objective,heat_the_chair,1,subject_01,2048,15,0.6875,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,objective,heat_the_chair,2,subject_02,2048,15,0.6861979166666666,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,subjective,n_back,1,subject_01,2048,65,3.1087009723369894,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,subjective,n_back,2,subject_02,2048,65,3.060943878613985,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,subjective,heat_the_chair,1,subject_01,2048,15,0.8226062655448914,cuda,bf16,off
screen,uab_workload_dataset,no_target_transform,42,subjective,heat_the_chair,2,subject_02,2048,15,0.8919945955276489,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,objective,n_back,1,subject_01,2048,65,1.0949519230769231,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,objective,n_back,2,subject_02,2048,65,1.0967548076923077,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,objective,heat_the_chair,1,subject_01,2048,15,0.6875,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,objective,heat_the_chair,2,subject_02,2048,15,0.6861979166666666,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,subjective,n_back,1,subject_01,2048,65,0.9666466346153846,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,subjective,n_back,2,subject_02,2048,65,0.9723557692307692,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,subjective,heat_the_chair,1,subject_01,2048,15,1.0078125,cuda,bf16,off
screen,uab_workload_dataset,mse_loss,42,subjective,heat_the_chair,2,subject_02,2048,15,1.0143229166666667,cuda,bf16,off
confirm,nasa_csm,full,42,objective,benchmark_only,1,subject_10,24576,20,0.96875,cuda,bf16,off
