seed,method_name,role,scenario_id,status,sample_count,checkpoint_sha256,representation_sha256,output_root,task_oracle_opened
17,mult,train,block_missing_and_long_lag,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,9c1bae8d340a00f08f6b8ccd33859e38f7cb44e92f5235f6db75147b2fad4d00,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/block_missing_and_long_lag,False
17,contiformer,train,block_missing_and_long_lag,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,c565e4d01fa8690c092780fe0e38bb04cc08cbda93741fdd717b728cca40c7fa,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/block_missing_and_long_lag,False
17,chronaris,train,block_missing_and_long_lag,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,50b6fb4e5ed2e07a42fb92f78654e690c03c53bcd7b847c21dae698d82806584,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/block_missing_and_long_lag,False
17,naive_time_sync,train,mixed_severe,completed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,1d7e56a402f2d3797f393fc5a22e328323804b3e619a9160cf43834b8b072093,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/train/mixed_severe,False
17,mult,train,mixed_severe,completed,384,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,daa46b595607d7871bb1f9141ef128e4758ebc2bec52021987b7cc95e599fef1,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/train/mixed_severe,False
17,contiformer,train,mixed_severe,completed,384,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,2644d5ab0c6dd2008e58cc851825bee67189b2cf123b78aaf72d1064326c0fec,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/train/mixed_severe,False
17,chronaris,train,mixed_severe,completed,384,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,e158e6159500b17ad6d336af8e5dcec4b7a860f287d0f05a066af13bcfbe0079,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/train/mixed_severe,False
17,naive_time_sync,validation,clean_asynchronous,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,005e2b17b44971601b3eb83774621b22e6e3cf9e547692e7700c6cfd42ee5655,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/validation/clean_asynchronous,False
17,mult,validation,clean_asynchronous,completed,96,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,39a59a69d9f92abe7c2ae19db47868f5bca294912635d833593d5f56ccb906ed,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/validation/clean_asynchronous,False
17,contiformer,validation,clean_asynchronous,completed,96,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,d5e53e7aade4c259100e40ddd403c1b8edb49a25e84c9c1c628243246139c1e1,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/validation/clean_asynchronous,False
17,chronaris,validation,clean_asynchronous,completed,96,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,40e336da227be04c00496b2cd6cb36d228a11c5739840eaecff3206ab52917fb,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/validation/clean_asynchronous,False
17,naive_time_sync,validation,sampling_jitter,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,bdeb349c6709f6099c023aeb5e8cd15a05c31088ec206d42ac11ef4aa1f0b8b1,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/validation/sampling_jitter,False
17,mult,validation,sampling_jitter,completed,96,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,0c6f501e9a0e1cb5419b642633080463eae9c6837a2b918d1d8e6fabbb96739d,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/validation/sampling_jitter,False
17,contiformer,validation,sampling_jitter,completed,96,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,2b0d3b2cc2c1c3ccebc15ec39cb434d78ab9b49e6fb339a5b6ec439d530295c1,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/validation/sampling_jitter,False
17,chronaris,validation,sampling_jitter,completed,96,19f6f72863099d14620bbcf80d2ce817d0f86b6bb88d6905876a3a15f54e8af1,7f950f182959b56f6643db0aa61e29784f62f0698c58c4d5961ce713b3c189e6,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/chronaris/validation/sampling_jitter,False
17,naive_time_sync,validation,clock_offset_and_drift,completed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,9d9e6df093b0794e99e09a106fa0b20e5b6105628fc96ffdc6b21f5ec11e032c,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/naive_time_sync/validation/clock_offset_and_drift,False
17,mult,validation,clock_offset_and_drift,completed,96,f9791f659754a5a1173c5e0f93b9f8e1f2c21b473d33868a31f3ddc0ae750c6c,68bd0f7cbec7be5f6bac2b624d36328b65d640a87bb76686cd47813ef2a9cd87,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/mult/validation/clock_offset_and_drift,False
17,contiformer,validation,clock_offset_and_drift,completed,96,2a6c5792396f5dd9cda0d9523eea9999a632771c7ff69e8160d86725cbf70f99,b37eeb23521099ffcbe292db7b3438fb94c0516b0df968baf3269106a5691ec7,artifacts/application_evaluation/2026-09-04_thesis-simulation-mechanism-representations-v3p2p3/representations/seed_17/contiformer/validation/clock_offset_and_drift,False
