dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_detection_delay_s,3.3958333333333335,lower,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,frame_macro_f1,0.20672621830317697,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.10,0.3078869047619048,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.25,0.21850198412698413,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.50,0.15168650793650795,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_f1_1s,0.17008928571428572,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_f1_2s,0.2992559523809524,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,edit_score,0.47708333333333336,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_detection_delay_s,6.1647727272727275,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,macro_f1,0.670995670995671,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,0.6714285714285714,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,macro_auprc,0.6438949938949939,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,0.568128443160778,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,ece_10_bins,0.3507917989686907,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,mae,0.15812635608017445,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,rmse,0.18697505826479988,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,spearman,0.3411764705882353,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,macro_f1,0.6975524475524475,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,0.7071428571428572,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,macro_auprc,0.7431998556998556,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,0.5255619721285898,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,ece_10_bins,0.316296531700024,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,mae,0.1620024163275957,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,rmse,0.18007887071121573,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,spearman,0.4147058823529412,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,frame_macro_f1,0.21636782290379059,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.10,0.3107638888888889,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.25,0.28125,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.50,0.14097222222222222,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,boundary_f1_1s,0.15029761904761904,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,boundary_f1_2s,0.33601190476190473,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,edit_score,0.2885416666666667,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,boundary_detection_delay_s,3.153409090909091,lower,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,frame_macro_f1,0.2658830060627989,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.10,0.36904761904761907,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.25,0.2839781746031746,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,segmental_f1_iou_0.50,0.19494047619047622,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,boundary_f1_1s,0.18898809523809523,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,physiology_only,17,simulation_g1_common_pretraining_smoke,held_out,boundary_f1_2s,0.2663690476190476,higher,available,,True
