evidence_quadrant,dataset_role,task,split_protocol,model_or_component,metric,value,baseline,delta_positive_is_better,seed_count,artifact_path,claim_boundary,source_stage,source_file,dataset_id,status,delta_convention,figure_path
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,chronaris_full,mae,992.5238629050956,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,chronaris_full,nrmse,11.316336677838498,,,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,mult,rmse,344.28897466792205,chronaris_full,-493.8320645162929,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,mult,mae,273.38187323676215,chronaris_full,-489.1760267366204,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,mult,nrmse,2.237883859210544,chronaris_full,-6.543103159446615,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,mult,rmse,413.4297629979357,chronaris_full,-698.5491783488524,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,mult,mae,314.74521891276044,chronaris_full,-677.778643992335,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_sortie_out,mult,nrmse,2.042551100254059,chronaris_full,-9.27378557758444,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,contiformer,rmse,344.3351099592478,chronaris_full,-493.7859292249672,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
private_model_comparison,private_real_dual_stream,T2_next_window_physiology_response,leave_one_view_out,contiformer,mae,273.5298546685113,chronaris_full,-489.0280453048712,,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/model_comparison_long.csv,T1/T2/T3 proxy tasks on private real dual-stream feature export data,P30_via_P32,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_cross-evidence-matrix/cross_evidence_matrix.csv,private_feature_export,completed,source positive means source reference/full/Chronaris claim is better,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-02_dingxin-thirdparty-comparison/fig_private_thirdparty_delta_heatmap.png
