dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_f1,0.4084884475144261,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,balanced_accuracy,0.4098251062086218,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_auprc,0.539853441122209,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,brier_score,0.6299920073610754,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,ece_10_bins,0.05031927643964689,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,mae,0.1634251574675242,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,rmse,0.1845711367807363,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,spearman,0.4797205642973412,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,frame_macro_f1,0.44425651933925286,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.10,0.5095838563669446,higher,available,,False,end_to_end_finetuned_v1
