seed,method_name,role,sample_count,manifest_path,label_used_for_encoder_training
29,vehicle_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/vehicle_only/train/representation_manifest.json,True
29,vehicle_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/vehicle_only/validation/representation_manifest.json,True
29,vehicle_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/vehicle_only/held_out/representation_manifest.json,True
29,naive_time_sync,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/naive_time_sync/train/representation_manifest.json,True
29,naive_time_sync,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/naive_time_sync/validation/representation_manifest.json,True
29,naive_time_sync,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/naive_time_sync/held_out/representation_manifest.json,True
29,mult,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/mult/train/representation_manifest.json,True
29,mult,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/mult/validation/representation_manifest.json,True
29,mult,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/mult/held_out/representation_manifest.json,True
29,contiformer,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/contiformer/train/representation_manifest.json,True
29,contiformer,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/contiformer/validation/representation_manifest.json,True
29,contiformer,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/contiformer/held_out/representation_manifest.json,True
29,chronaris,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/chronaris/train/representation_manifest.json,True
29,chronaris,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/chronaris/validation/representation_manifest.json,True
29,chronaris,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/chronaris/held_out/representation_manifest.json,True
43,physiology_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/physiology_only/train/representation_manifest.json,True
43,physiology_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/physiology_only/validation/representation_manifest.json,True
43,physiology_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/physiology_only/held_out/representation_manifest.json,True
43,vehicle_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/vehicle_only/train/representation_manifest.json,True
43,vehicle_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/vehicle_only/validation/representation_manifest.json,True
43,vehicle_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_43/vehicle_only/held_out/representation_manifest.json,True
