split_id,outer_pool_id,main_selection,seed,method,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,checkpoint_path,checkpoint_sha256,task_targets_opened,outer_test_opened
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,contiformer,A,resumed,46,50,False,0.5449456870555878,0.0754412909882376,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/contiformer/A/best.pt,a985cda69b7573a17257912728e711d23f221a8cc7d16402f3bef54a18f8da03,False,False
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,chronaris,A,resumed,8,16,True,0.5714840143918991,0.10519080000813119,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/chronaris/best.pt,77e79bb7622035e36471e30baf093a91d97f425afa837a7eb8cf66311404e711,False,False
leave_one_view_out__fold01__candidate_340,leave_one_view_out__fold01,True,17,naive_time_sync,train_only_pca,resumed,0,0,False,,0.0,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_340/naive_time_sync/best.pt,a5628b60e109211e50ad3e5494e1b5830c22b6accb01465102da3e0f30731fbd,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,physiology_only,A,resumed,32,40,True,0.6694206744432449,0.07432458500261419,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/physiology_only/A/best.pt,67ca5ab26984fb79c4aaf0718266f970c29aecaa284e9db7dabf9f8efb0a9b2b,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,vehicle_only,A,resumed,49,50,False,0.584688201546669,0.07807582999521401,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/vehicle_only/A/best.pt,50e317d54774dd2732ddc19169653fefa030b36dde8f82601a468288a43d8642,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,mult,A,resumed,45,50,False,0.5563113912940025,0.15749640499416273,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/mult/A/best.pt,909981932f6077369225b0c30cd831fb76f1863e5c8c8c12913ab52efe338973,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,contiformer,A,resumed,30,38,True,0.6063913032412529,0.07451408900669776,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/contiformer/A/best.pt,beab0ccab35d1abd63dadf631313cad3a436bc6064ac4f1b4dd429c6f1e3860f,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,chronaris,A,resumed,7,15,True,0.5768156200647354,0.1061858589964686,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/chronaris/best.pt,758332684503de254ebe56164232e679cc8d04fcc9df0a698b2cd4dcf421998a,False,False
leave_one_view_out__fold01__candidate_327,leave_one_view_out__fold01,True,17,naive_time_sync,train_only_pca,resumed,0,0,False,,0.0,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/leave_one_view_out__fold01__candidate_327/naive_time_sync/best.pt,c353d25fb531f4788e98228943514ccbc9e1f76ecacbac33410c983303ff3cd3,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,physiology_only,A,resumed,19,27,True,1.8975882679224014,0.0718836449959781,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/physiology_only/A/best.pt,b22447c33bfdb61187fa5dab90128b452ff006266b7da69b19f3471e7605b696,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,vehicle_only,A,resumed,24,32,True,1.8202325999736786,0.07552377400861587,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/vehicle_only/A/best.pt,649903d4ec52e42d71ba3f489fe9dea89dc99eda0f8e98398def2139a53b832c,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,mult,A,resumed,20,28,True,1.7984027490019798,0.15987513099389616,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/mult/A/best.pt,a77cb968c9bbfe3285b0e2dbcbf06565bb8dada2f203b34995f7a8d681733d86,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,contiformer,A,resumed,29,37,True,1.8035087287425995,0.08065134199569002,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/contiformer/A/best.pt,0d950f4bbeb3db8c13ed6313f3dbcb84908aa638e91fa896c4ebb47056f73ad3,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,chronaris,A,resumed,16,24,True,1.821170836687088,0.11310460801178124,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/chronaris/best.pt,cc268fa806201f8024bebef5e5fcff2ff8e193fbca83802c6545e14cbc324a25,False,False
legacy_diagnostic__leave_one_view_out__fold03,leave_one_view_out__fold03,False,17,naive_time_sync,train_only_pca,resumed,0,0,False,,0.0,artifacts/application_evaluation/2026-07-15_dingxin-target-reconstruction-confirmation/checkpoints/seed_17/legacy_diagnostic__leave_one_view_out__fold03/naive_time_sync/best.pt,0cde0af26e4c0da4560faa75b8e56fb4bfdee4b9f763b8e76d1cd74617635aad,False,False
