ablation_group,balanced_accuracy,component,confusion_matrix,display_name_cn,feature_family,leakage_safe,mae,metric_direction,model_mode,nrmse,nrmse_normalization,per_class_f1,per_class_precision,per_class_recall,persistence_improvement_rate,persistence_rmse,primary_metric_name,primary_metric_value,protocol,seed,skipped_fold_count,skipped_reason,source_variant,split_strategy,status,task_name,task_type,valid_fold_count,variant_name
model_backbone,0.3333333333333333,remove_semantic_event_fusion,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除语义事件融合,fused_only,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,71,0,,g_min,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_semantic_event_fusion
model_backbone,0.3333333333333333,remove_semantic_event_fusion,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",移除语义事件融合,fused_only,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,97,0,,g_min,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_semantic_event_fusion
model_backbone,,remove_semantic_event_fusion,,移除语义事件融合,fused_only,True,689.147044290209,lower_is_better,learned,0.3520091540444815,target_range,,,,-3.07876668886359,201.4895651832178,rmse,821.8289266229177,leakage_safe_v1,17,0,,g_min,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_semantic_event_fusion
model_backbone,,remove_semantic_event_fusion,,移除语义事件融合,fused_only,True,689.147044290209,lower_is_better,learned,0.3520091540444815,target_range,,,,-3.07876668886359,201.4895651832178,rmse,821.8289266229177,leakage_safe_v1,29,0,,g_min,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_semantic_event_fusion
model_backbone,,remove_semantic_event_fusion,,移除语义事件融合,fused_only,True,689.147044290209,lower_is_better,learned,0.3520091540444815,target_range,,,,-3.07876668886359,201.4895651832178,rmse,821.8289266229177,leakage_safe_v1,43,0,,g_min,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_semantic_event_fusion
model_backbone,,remove_semantic_event_fusion,,移除语义事件融合,fused_only,True,689.147044290209,lower_is_better,learned,0.3520091540444815,target_range,,,,-3.07876668886359,201.4895651832178,rmse,821.8289266229177,leakage_safe_v1,71,0,,g_min,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_semantic_event_fusion
model_backbone,,remove_semantic_event_fusion,,移除语义事件融合,fused_only,True,689.147044290209,lower_is_better,learned,0.3520091540444815,target_range,,,,-3.07876668886359,201.4895651832178,rmse,821.8289266229177,leakage_safe_v1,97,0,,g_min,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,remove_semantic_event_fusion
model_backbone,0.3333333333333333,full_model,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",完整方案,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,17,0,,chronaris_opt,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,full_model
model_backbone,0.3333333333333333,full_model,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",完整方案,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,29,0,,chronaris_opt,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,full_model
model_backbone,0.3333333333333333,full_model,"[[39, 0, 0], [36, 0, 0], [36, 0, 0]]",完整方案,full_safe,True,,higher_is_better,learned,,,"{""low"": 0.52, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.35135135135135137, ""medium"": 0.0, ""high"": 0.0}","{""low"": 1.0, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17333333333333334,leakage_safe_v1,43,0,,chronaris_opt,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,full_model
