seed,method,scenario_id,task,target,consumer,metric,value,direction,available,trajectory_count,tolerance_s,smoke_only
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.7957157411898321,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,0.0,higher,True,48,0.5,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,6.779457982674309,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,7.843911377260092,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.125,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_+0.25s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5191576387121396,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.08135679364204407,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.09730883411443719,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,1.0,higher,True,48,0.5,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,6.663401142630101,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,7.589137314129966,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.125,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_-1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5158759848644017,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,mae_s,0.08324571140110493,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,rmse_s,0.09985077453050002,lower,True,48,0.5,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,tolerance_hit_rate,1.0,higher,True,48,0.5,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,relative_clock_offset_magnitude_s,ridge_recovery_probe,spearman,,higher,False,48,0.5,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,mae_s,6.66285946555249,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,rmse_s,7.613233057878362,lower,True,48,2.0,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,tolerance_hit_rate,0.125,higher,True,48,2.0,False
17,naive_time_sync,clock_offset_+1.00s,sim_clock_lag_recovery_v1,primary_physiology_response_lag_s,ridge_recovery_probe,spearman,0.5198139694816872,higher,True,48,2.0,False
