seed,fold_id,fold_family,method_name,status,protocol_sha256,hyperparameter_selection_role,outer_test_metrics_opened
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,vehicle_only,completed,ae8ae16418915ffd616389fb0797579d66e7a0f8b3e3d47b7aec8341e9ebf6ee,validation,True
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,naive_time_sync,completed,f2fd55441865d75d26c072469f7009e8afb80c96f9b685d5f4de61a8e09cca43,validation,True
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,mult,completed,67d4c22ef6007bc4920f9feb6973c8c05213a3675775cd6b047e8105b87779c7,validation,True
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,contiformer,completed,71b59cee058313628c1dc272dc75156d7648aafd0172d3b38e4f47dad2566d66,validation,True
29,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,chronaris,completed,85ae371448d37d566945c3bda66760798ea5cf72b872cb486522ed46f385efb2,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,physiology_only,completed,c41c814ec676ebdc213385e62c66b100e9c08c4793d2037d583c25a72028de29,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,vehicle_only,completed,26c2871fcd938fbf56e9b09a67e927ad32a860f1fd787cdceef804355e5f25b2,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,naive_time_sync,completed,028b813f1f0f086bfcff6b685122653a79544200b8a5c05b82c7e447ad34c5a8,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,mult,completed,12bbed61ed4c4dd555b8e51f9ad461469808036dba2e6166fe35fc34e702ac9d,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,contiformer,completed,fdef127ecb03b99c54502643db9529f487e793939fcb484b2b0cb84a9a38f216,validation,True
29,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,chronaris,completed,b1e4d00a6040c386de0ac787e70108c3727005f376af855188d403008769eb04,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,physiology_only,completed,6910f5f856e6663712a50315775e77955f3487a77c3b5a9530ad93d44b461a6e,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,vehicle_only,completed,559edebfbb3f872c07fbbc34050e5ec279850c1ae97608b10bd6955aa3a23105,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,naive_time_sync,completed,4eb54a18540df071c8c335ff8d5bc814045aeb2b34daa8847e877f6dd3c1063a,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,mult,completed,c9738fb0cb50eeef61f0b35c7989c47ee6ab50bee301e381ca169b43b0bbeab6,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,contiformer,completed,dae15284abb684de91b0157c93c33a5d0dfb540ca088c722deb31bf910b7e454,validation,True
43,leave_one_view_out__fold01,leave_one_view_out_main,chronaris,completed,24f8d991f2ce2b054e1d5edb838ef2a0073ee999051908b028d89725d5b32170,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,physiology_only,completed,943358855d7048bc965810b6242d0713a3b69e46c74226331e39058de4cb3895,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,vehicle_only,completed,8db0d00be567feefae30c51cd0f78437dded58e855df1c453232432755873548,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,naive_time_sync,completed,042d2c04eb776561de9e5c15620cb62b7b63623f01c707e437a542f7d9535f07,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,mult,completed,a9f4c48ed5fcee5b42a678d054d03c27fd7309e8eb0f79f3d7ce1d4418e7abeb,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,contiformer,completed,fcd63ee0fafc7fd1d86e4e8b9afa9585a9195104b9d9704559af58cec7238022,validation,True
43,leave_one_view_out__fold02,leave_one_view_out_main,chronaris,completed,194ba41b15f680570dee7ccf8220c183a4217a8627c4bd045bd23bc58099256c,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,physiology_only,completed,6c70c17978cff765b4febdd1b2c22f7170876d8806dfafe483d3c9dd55c67b9c,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,vehicle_only,completed,7369bc641e45ede788b72e05995e914ac2f953452987387dd7cc21656c9493b9,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,naive_time_sync,completed,531d0eafd2f1ab233bce4a251b4ece3548a4687a1de1ef4e33f96246a888caa5,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,mult,completed,080e88bb29d925e76363bac59316989e2f029b794718f6dfe26cff79c41d83ee,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,contiformer,completed,a59ecbd7873b551bcaebb90578850265ca4d5c2e44543ce6a07f21906b290c03,validation,True
43,leave_one_view_out__fold03,leave_one_view_out_main,chronaris,completed,145e753ae257d94f39467ed9988cdc6c389fcf689264d095321ef46536216e02,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,physiology_only,completed,879bba746f0b6db97786151623b2008ca39b0f4bec4581c1feb544a912440ac5,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,vehicle_only,completed,fef0224f17ec268b0788f1a81b11398864f4ee55ddf699dfab7678000c478e0b,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,naive_time_sync,completed,284bf92bc763a20ede688536c4284d475f89ded6b733712deb7ee27a4bc6defe,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,mult,completed,72c2b1bb42d78726f97aa4893b8e9753460ddde6d2d249cc9d900f6e1ee377ce,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,contiformer,completed,36d649417be87afd7641a16f15dd97482e706238bdd6db24b548b47a2cd97664,validation,True
43,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,chronaris,completed,4c142abb26e8a24b76a79a61d6f66e10cf1d30c3c537abb1fa49960f1a6867dd,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,physiology_only,completed,713508de232ef5cc8d172d13c933971447623f0c95607ee0556b07a578e03390,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,vehicle_only,completed,351f234dd04a2bb4858ca3cfdae239faa4d9a427abe69f0d819d91f8a2101b9c,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,naive_time_sync,completed,4ef17550ba9e26fb2b2c14a49940c1cb5b8bf4b9638044328ea19cc1da950bc6,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,mult,completed,200761aa303f6de1902c70b9ae9f5d1bc0d6e08d1c1857ba0fdb4664236a36eb,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,contiformer,completed,a03118fde7cc734ee472a962bc9d9103aff6d337854cf5593fe0f0f2fe2fde08,validation,True
43,leave_one_sortie_out__fold02,leave_one_sortie_out_auxiliary,chronaris,completed,567cd938edc4375c9c289ad4c92f55abb15eb4b5f92c0f03d0f9ad11583a2621,validation,True
