seed,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,mult,validation,completed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,cc1ac72ec1e9e6a9699128e6d2685b89c994ab29c104b3ba702417f4427cb9d6,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/mult/validation
17,mult,held_out,completed,192,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,8a34eea39a88116b6841046f6be500f77afb1c8bf2b4101b6a662d82a5cb557c,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/mult/held_out
17,contiformer,train,completed,384,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,3c6472e1b080be0df3e562f6fcac1d06f71c20a453cc165084962a016741767f,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/contiformer/train
17,contiformer,validation,completed,96,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,261714d74721c682598ea8a4a4b47d1f128c72bf78c80cdb8dfcc10b8f429b18,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/contiformer/validation
17,contiformer,held_out,completed,192,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,f44f19177746c12a8a731199ebec3e760dd362f9d0ca5d7f421e589040181e0b,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/contiformer/held_out
17,chronaris,train,completed,384,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,fbf71f4bc36c42f5cdf685dba3f6aa5960426611c3d8cda0c4f7a3fddd1bf98f,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/chronaris/train
17,chronaris,validation,completed,96,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,366a72111cefd5a7ebd899c446d19fbe209baee3375ed0845cc395d7e6f9f969,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/chronaris/validation
17,chronaris,held_out,completed,192,66d1478cd67e1ac32612f8c8facb74ea2c660d93cdbec6029afd90c4f4b572db,54b6d950fef69499675dfa4ade6da0da9040279fef967314f2818752ceac55f5,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_17/chronaris/held_out
29,physiology_only,train,completed,384,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,b0322e226d4bcb8d4052beea3752f566ba5430d4fe3c7d325145ec8b91d857d5,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/physiology_only/train
29,physiology_only,validation,completed,96,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,d01ee68b196fc53d311de77d7982bb3b1a212602640c37e88155fb9a93a490f4,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/physiology_only/validation
29,physiology_only,held_out,completed,192,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,84c75ea8eec88fe382b75b2aa1eb1de2fdab79eff6c783aedac034dadf287ce1,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/physiology_only/held_out
29,vehicle_only,train,completed,384,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,82432d0c6f21288a883fc4d932b10c566ddc1f0589d0d1c5292f4ad87bddf927,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/vehicle_only/train
29,vehicle_only,validation,completed,96,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,a8640b14277dbf1c5ed1b311e19a27ab29eb7da1028acb22caf7e484c1c4f072,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/vehicle_only/validation
29,vehicle_only,held_out,completed,192,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,53c3ef9e969f398acba50aabf62634630372a7927ec1293843cff5fda1207091,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-locked-representations/representations/seed_29/vehicle_only/held_out
