seed,scenario_id,method_name,metric_count,consumer_refit,source_model_protocol_sha256,prediction_sha256
29,timestamp_jitter_050ms,vehicle_only,32,False,dc974d7b7d1f1aa46099201b77653709acaa33db18ff9fb6c254a78fa151eaf4,5491f08c1b51d5bd392d2800cac883b020d9c7a1b4f9959e7457e12b028630f3
29,timestamp_jitter_050ms,naive_time_sync,32,False,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,dc584b92f5e337d6c22f998192684db41ef51d0929803b9a01a6c636ed650c57
29,timestamp_jitter_050ms,mult,32,False,0e5420dacb83fdc6fcce04564f64b959da4f76d31205bb729b25e0ae891d3024,b4a1465da5c0f350c2e4a748a220acf59d9c4f2b7d9f286fb18aa825f830f171
29,timestamp_jitter_050ms,contiformer,32,False,91e846cf4014c2f1fe1b9b6c6ccd212acc328ba491c38d5e339196c0f43afdf1,2e1b845d4c7160d09ca46fe0177be94fa71d54354213277e5924e7994a5ea566
29,timestamp_jitter_050ms,chronaris,32,False,4a6527fcaeebfe7fe43f31b536189b09da5aeaed8028876abd2fd73a08ae7287,2f57cc834881a766aade1bb8c2815da95bfec1b308c4239e32617371b6d7fb82
43,timestamp_jitter_050ms,physiology_only,32,False,cdd6bdb538c3460a6b5a451bd5d2e60b9b0b65bdf90d63dd4c8bf02200889098,c6be3083423c9ce10969811ca6329026b7503b7c4a140ed07169ea01a7dfc2fc
43,timestamp_jitter_050ms,vehicle_only,32,False,6c24423d3c7b6a7c3ab86dd802d9b3ba67dec3631bcd8c29b3ddaa895f5802b3,7896337bf16d651d607071824c551fddb6e7520c62b59ecb1094f87a6f88b506
43,timestamp_jitter_050ms,naive_time_sync,32,False,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,06126cf0628d55c00b17f01effb542f3de3cdc75fee0c7932488568e716afb91
43,timestamp_jitter_050ms,mult,32,False,fe27b6d563f131edbc7b57408a93d0db1ae0b9fc6b7442f7a8a81565b6ed684a,ea9ffa092becb6acb05d85c44673487879c370379dedabd2461700257dda6728
43,timestamp_jitter_050ms,contiformer,32,False,331f12e6432a5a45af82fd0c9c0014df76e6b8273f0be088059bb7326d86137a,387917047fd29bbb564515c56f68363ac0bc565d463ca2a1b244d3fc7190ddef
