candidate_id,direction,evaluation_role,fit_role,fold_id,head_variant,metric,outer_test_accessed,status,task,value
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,hist_gradient_boosting,macro_f1,False,completed,maneuver,0.17460317460317462
summary_vehicle_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold01,hist_gradient_boosting,rmse,False,completed,response,0.7923679961974973
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.5562714725670191
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.5579971496359456
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.6171219378911685
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.6114540918800733
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,hist_gradient_boosting,macro_f1,False,completed,maneuver,0.17460317460317462
summary_dual_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold01,hist_gradient_boosting,rmse,False,completed,response,0.7923679961974973
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.5455475043671331
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.6080017168213454
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.6243105825798134
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.6166038983505251
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,1.0
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,1.0
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,1.0
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.4844932844932845
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.0482884353165987
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,0.9065124106228126
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,0.9000736984366173
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,0.9183877244519366
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,0.8832926830688957
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,0.9042785641206472
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,0.8330127714310925
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.8297316043184675
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,0.9199979364940662
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,0.9068121563735231
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,0.8472681342695577
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.0246441349225004
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.6421228771228771
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.6211202764271817
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.5925542406311637
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.6107216529591315
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,1.0
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,1.0
