candidate_id,direction,evaluation_role,fit_role,fold_id,metric,outer_test_accessed,selected_head_variant,status,task,value,head_variant
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,ridge_alpha=100;target=log1p,completed,response,1.1955520219807718,
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,continuous_regression_threshold,completed,high_response,0.8541666666666666,
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,fieldwise_ridge_alpha=0.1,completed,response,1.4759685660199096,fieldwise_ridge_alpha=0.1
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold01,macro_f1,False,vehicle_only:minirocket,completed,maneuver,1.0,vehicle_only:minirocket
historical_frozen_panel,lower,inner_validation,inner_train,leave_one_view_out__fold01,rmse,False,vehicle_only:linear,completed,response,0.7621799554675647,vehicle_only:linear
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold01,auprc,False,mult:minirocket,completed,high_response,0.704824390524835,mult:minirocket
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,vehicle_only:minirocket,completed,maneuver,1.0,vehicle_only:minirocket
historical_frozen_panel,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,vehicle_only:linear,completed,response,0.7494204391742693,vehicle_only:linear
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,mult:minirocket,completed,high_response,0.7152437950030719,mult:minirocket
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold03,macro_f1,False,chronaris:minirocket,completed,maneuver,0.4333333333333333,chronaris:minirocket
historical_frozen_panel,lower,inner_validation,inner_train,leave_one_view_out__fold03,rmse,False,naive_time_sync:minirocket,completed,response,1.0113155642331002,naive_time_sync:minirocket
historical_frozen_panel,higher,inner_validation,inner_train,leave_one_view_out__fold03,auprc,False,naive_time_sync:linear,completed,high_response,0.81875,naive_time_sync:linear
