split_id,candidate_id,variant,task,metric,direction,value,direct_value,direction_normalized_delta,outer_test_opened
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,rmse,lower,1.4086073173053002,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,mae,diagnostic,1.2225362431397606,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,validation_std,diagnostic,0.7424450098311778,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,validation_iqr,diagnostic,0.8094986823286678,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,nrmse_std,diagnostic,1.8972547443286054,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,nrmse_iqr,diagnostic,1.7400983448832668,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,train_mean_baseline_rmse,diagnostic,0.9686999988458442,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,rmse_ratio,diagnostic,1.4541213161800173,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,response_skill,diagnostic,-1.1144688021691054,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,response,spearman,diagnostic,-0.12609476430090233,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,auprc,higher,0.6739448051948053,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,prevalence,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,random_baseline_auprc,diagnostic,0.6666666666666666,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,normalized_ap,diagnostic,0.021834415584415897,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,auprc_lift,diagnostic,0.0072781385281386335,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,auroc,diagnostic,0.5,,,False
leave_one_view_out__fold01__candidate_327,contiformer,matched_task_anchor,high_response,balanced_accuracy,diagnostic,0.4375,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,macro_f1,higher,0.2558922558922559,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,support_aware_macro_f1,diagnostic,0.2558922558922559,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,majority_macro_f1,diagnostic,0.19607843137254902,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,macro_f1_lift,diagnostic,0.059813824519706876,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,recall_low,diagnostic,0.6,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,recall_medium,diagnostic,0.3333333333333333,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,recall_high,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,minimum_class_recall,diagnostic,0.0,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,ordinal_mae,diagnostic,0.75,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,score_mae,diagnostic,1.429543408512978,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,maneuver,score_spearman,diagnostic,0.1188811188811189,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,rmse,lower,1.4183115260298256,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,mae,diagnostic,1.1872306984535612,,,False
leave_one_view_out__fold01__candidate_327,chronaris,matched_task_anchor,response,validation_std,diagnostic,0.7424450098311778,,,False
