dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.6139310906131308,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.6098175787728026,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.6256173039183973,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.5901099609271651,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6140898972891683,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.21771094551239722,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.11791337405641873,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.15199807470409893,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.663524145415084,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,frame_macro_f1,0.5295904243696946,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.10,0.536721078163609,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.25,0.4386097396110942,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.50,0.26881101345836256,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,boundary_f1_1s,0.20448053954487774,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,boundary_f1_2s,0.2979687064705447,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,edit_score,0.44264995710308214,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,boundary_detection_delay_s,3.3426616915422884,lower,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,frame_macro_f1,0.5826584795744569,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.10,0.7314953275890774,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.25,0.6591893638768639,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.50,0.44804868164243167,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,boundary_f1_1s,0.2517969877344877,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_duration,chronaris_no_missingness_curriculum,17,simulation_g1_to_g2_ablation__seed_17,validation,boundary_f1_2s,0.39370386557886555,higher,available,,False
