seed,method,task,consumer,metric,direction,fold_count,available_fold_count,mean,std,minimum,maximum,worst_fold_value,statistical_unit,window_level_p_value_reported,representation_family
17,contiformer,high_physiology_response_classification,minirocket,macro_auprc,higher,3,3,0.858023777346959,0.20078469961043272,0.5740713320408771,0.9999999999999999,0.5740713320408771,view_fold,False,frozen_task_agnostic_v2
17,contiformer,high_physiology_response_classification,minirocket,macro_f1,higher,3,3,0.8285714285714286,0.24243661069253059,0.4857142857142857,1.0,0.4857142857142857,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,linear,balanced_accuracy,higher,3,3,0.5525733525733526,0.08608438611441482,0.4365079365079365,0.6424242424242425,0.4365079365079365,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,linear,brier_score,lower,3,3,0.6021341353658224,0.21160561128493047,0.4063145630144515,0.896019489926953,0.896019489926953,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,linear,ece_10_bins,lower,3,3,0.2317301329411272,0.15540877042211002,0.12092056105743473,0.45150875491043474,0.45150875491043474,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,linear,macro_auprc,higher,3,3,0.7343108870643706,0.047320211500748076,0.6895309045907131,0.7997690626367097,0.6895309045907131,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,linear,macro_f1,higher,3,3,0.5303726304489081,0.11175347156134306,0.37719298245614036,0.6406559877955759,0.37719298245614036,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,minirocket,balanced_accuracy,higher,3,3,0.9629629629629629,0.05237828008789243,0.8888888888888888,1.0,0.8888888888888888,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,minirocket,brier_score,lower,3,3,0.07607334460111581,0.10668136438474177,0.0006243632367553237,0.22694357611694546,0.22694357611694546,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,minirocket,ece_10_bins,lower,3,3,0.05145428669166049,0.047843274491315646,0.01751068842760284,0.11911476773339436,0.11911476773339436,view_fold,False,frozen_task_agnostic_v2
17,contiformer,maneuver_intensity_classification,minirocket,macro_auprc,higher,3,3,0.9796112837779504,0.028833999000598867,0.9388338513338512,1.0,0.9388338513338512,view_fold,False,frozen_task_agnostic_v2
