dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,sample_count,threshold_scope,smoke_only,representation_family
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,macro_auprc,0.5132036844862912,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,brier_score,1.328672417860224,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,ece_10_bins,0.6651553607211169,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,linear,mult,29,leave_one_sortie_out__fold02,held_out,high_response_recall,0.0,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,macro_f1,0.7420065314802157,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,balanced_accuracy,0.7777777777777777,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,macro_auprc,0.8627274731441398,higher,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,brier_score,0.41228830927058135,lower,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,ece_10_bins,0.14038592933694616,lower,available,,31,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,mae,0.6161497243775831,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,rmse,0.816228304707716,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,physiology_response_regression,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,spearman,0.3864293659621802,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,macro_f1,0.4857142857142857,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,balanced_accuracy,0.625,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,macro_auprc,0.5903918279046998,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,brier_score,0.9804648939718112,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,ece_10_bins,0.49235386350451127,lower,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,mult,29,leave_one_sortie_out__fold02,held_out,high_response_recall,0.25,higher,available,,30,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,macro_f1,0.19999999999999998,higher,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,contiformer,29,leave_one_sortie_out__fold02,validation,balanced_accuracy,0.5,higher,available,,14,inner_train_nested,False,frozen_task_agnostic_v2
