seed,fold_id,method,consumer,status,elapsed_s,smoke_only
29,leave_one_sortie_out__fold01,chronaris,minirocket,completed,0.26314280182123184,False
29,leave_one_sortie_out__fold02,physiology_only,linear,completed,0.02784185577183962,False
29,leave_one_sortie_out__fold02,physiology_only,minirocket,completed,0.3905952060595155,False
29,leave_one_sortie_out__fold02,vehicle_only,linear,completed,0.042738717049360275,False
29,leave_one_sortie_out__fold02,vehicle_only,minirocket,completed,0.3854069570079446,False
29,leave_one_sortie_out__fold02,naive_time_sync,linear,completed,0.021388876251876354,False
29,leave_one_sortie_out__fold02,naive_time_sync,minirocket,completed,0.40101729054003954,False
29,leave_one_sortie_out__fold02,mult,linear,completed,0.0245037698186934,False
29,leave_one_sortie_out__fold02,mult,minirocket,completed,0.3696503392420709,False
29,leave_one_sortie_out__fold02,contiformer,linear,completed,0.027342594228684902,False
29,leave_one_sortie_out__fold02,contiformer,minirocket,completed,0.3987817009910941,False
29,leave_one_sortie_out__fold02,chronaris,linear,completed,0.027775372844189405,False
29,leave_one_sortie_out__fold02,chronaris,minirocket,completed,0.46466321405023336,False
43,leave_one_view_out__fold01,physiology_only,linear,completed,0.034652328584343195,False
43,leave_one_view_out__fold01,physiology_only,minirocket,completed,0.45651272404938936,False
43,leave_one_view_out__fold01,vehicle_only,linear,completed,0.027664536144584417,False
43,leave_one_view_out__fold01,vehicle_only,minirocket,completed,0.4189676772803068,False
43,leave_one_view_out__fold01,naive_time_sync,linear,completed,0.02169739594683051,False
43,leave_one_view_out__fold01,naive_time_sync,minirocket,completed,0.405333561822772,False
43,leave_one_view_out__fold01,mult,linear,completed,0.027070751879364252,False
43,leave_one_view_out__fold01,mult,minirocket,completed,0.38553388603031635,False
43,leave_one_view_out__fold01,contiformer,linear,completed,0.029892143793404102,False
43,leave_one_view_out__fold01,contiformer,minirocket,completed,0.4287797990255058,False
43,leave_one_view_out__fold01,chronaris,linear,completed,0.026682334952056408,False
43,leave_one_view_out__fold01,chronaris,minirocket,completed,0.4409449570812285,False
43,leave_one_view_out__fold02,physiology_only,linear,completed,0.02806655317544937,False
43,leave_one_view_out__fold02,physiology_only,minirocket,completed,0.4118694788776338,False
43,leave_one_view_out__fold02,vehicle_only,linear,completed,0.029265178833156824,False
43,leave_one_view_out__fold02,vehicle_only,minirocket,completed,0.4178415830247104,False
43,leave_one_view_out__fold02,naive_time_sync,linear,completed,0.022448834031820297,False
43,leave_one_view_out__fold02,naive_time_sync,minirocket,completed,0.42503528110682964,False
43,leave_one_view_out__fold02,mult,linear,completed,0.028207360301166773,False
43,leave_one_view_out__fold02,mult,minirocket,completed,0.37364607118070126,False
43,leave_one_view_out__fold02,contiformer,linear,completed,0.03293307591229677,False
43,leave_one_view_out__fold02,contiformer,minirocket,completed,0.4278201409615576,False
43,leave_one_view_out__fold02,chronaris,linear,completed,0.026379298884421587,False
43,leave_one_view_out__fold02,chronaris,minirocket,completed,0.4421846312470734,False
43,leave_one_view_out__fold03,physiology_only,linear,completed,0.02725727530196309,False
43,leave_one_view_out__fold03,physiology_only,minirocket,completed,0.38252213783562183,False
43,leave_one_view_out__fold03,vehicle_only,linear,completed,0.02239943202584982,False
43,leave_one_view_out__fold03,vehicle_only,minirocket,completed,0.41101171309128404,False
43,leave_one_view_out__fold03,naive_time_sync,linear,completed,0.02485821023583412,False
43,leave_one_view_out__fold03,naive_time_sync,minirocket,completed,0.4072030372917652,False
43,leave_one_view_out__fold03,mult,linear,completed,0.028132907114923,False
43,leave_one_view_out__fold03,mult,minirocket,completed,0.39326158072799444,False
43,leave_one_view_out__fold03,contiformer,linear,completed,0.02819123538210988,False
43,leave_one_view_out__fold03,contiformer,minirocket,completed,0.3854476581327617,False
43,leave_one_view_out__fold03,chronaris,linear,completed,0.026900176890194416,False
43,leave_one_view_out__fold03,chronaris,minirocket,completed,0.4444164498709142,False
43,leave_one_sortie_out__fold01,physiology_only,linear,completed,0.02803677273914218,False
43,leave_one_sortie_out__fold01,physiology_only,minirocket,completed,0.24356113001704216,False
43,leave_one_sortie_out__fold01,vehicle_only,linear,completed,0.023284015711396933,False
43,leave_one_sortie_out__fold01,vehicle_only,minirocket,completed,0.20600373903289437,False
43,leave_one_sortie_out__fold01,naive_time_sync,linear,completed,0.01938009401783347,False
43,leave_one_sortie_out__fold01,naive_time_sync,minirocket,completed,0.2159091867506504,False
43,leave_one_sortie_out__fold01,mult,linear,completed,0.02827520202845335,False
43,leave_one_sortie_out__fold01,mult,minirocket,completed,0.2078316379338503,False
43,leave_one_sortie_out__fold01,contiformer,linear,completed,0.028124059084802866,False
43,leave_one_sortie_out__fold01,contiformer,minirocket,completed,0.2234682277776301,False
43,leave_one_sortie_out__fold01,chronaris,linear,completed,0.03022858314216137,False
43,leave_one_sortie_out__fold01,chronaris,minirocket,completed,0.24622330302372575,False
43,leave_one_sortie_out__fold02,physiology_only,linear,completed,0.026935060042887926,False
43,leave_one_sortie_out__fold02,physiology_only,minirocket,completed,0.3892796500585973,False
43,leave_one_sortie_out__fold02,vehicle_only,linear,completed,0.025452936999499798,False
43,leave_one_sortie_out__fold02,vehicle_only,minirocket,completed,0.3792723622173071,False
43,leave_one_sortie_out__fold02,naive_time_sync,linear,completed,0.020703934133052826,False
43,leave_one_sortie_out__fold02,naive_time_sync,minirocket,completed,0.41007196391001344,False
43,leave_one_sortie_out__fold02,mult,linear,completed,0.027351179160177708,False
43,leave_one_sortie_out__fold02,mult,minirocket,completed,0.36627082200720906,False
43,leave_one_sortie_out__fold02,contiformer,linear,completed,0.02465169131755829,False
43,leave_one_sortie_out__fold02,contiformer,minirocket,completed,0.3680993667803705,False
43,leave_one_sortie_out__fold02,chronaris,linear,completed,0.025953690987080336,False
43,leave_one_sortie_out__fold02,chronaris,minirocket,completed,0.4417879469692707,False
