fold_run_id,fold_id,method_name,initial_status,initial_component_count,resume_component_count,resume_all_components,prediction_hash_match,prediction_sha256,protocol_sha256,consumer_config_sha256,representation_checkpoint_sha256,label_used_for_encoder_training,threshold_scope
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,naive_time_sync,completed,2,2,True,True,1fa1e342bca79d09666f4813f82d6f0a9f456d0f3a3fadaab90a75f85053041f,f307e01290c10389ad532a5aae99d2411af23c2c51ae7ddcec28f098a4cfa79b,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""3fd317068147595b1f5cd12d3f0d847b973dd2c97f38f518779d43e717d50738"", ""train"": ""3fd317068147595b1f5cd12d3f0d847b973dd2c97f38f518779d43e717d50738"", ""validation"": ""3fd317068147595b1f5cd12d3f0d847b973dd2c97f38f518779d43e717d50738""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,mult,completed,2,2,True,True,352f954388c3eeaf70baa0d5b2037d44f272708057dbc1850ff784f06067a0e2,8498c5f590b2de124066a102b4a71bafea9b6ed6cb7fb3752559c20b5ef1e4a4,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""a6b0169a80fbe94c772809f0304efc0e495978aceab91da91cf8343765668577"", ""train"": ""a6b0169a80fbe94c772809f0304efc0e495978aceab91da91cf8343765668577"", ""validation"": ""a6b0169a80fbe94c772809f0304efc0e495978aceab91da91cf8343765668577""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,contiformer,completed,2,2,True,True,06b8112750987cafcf000e37874ca4496894cb3bac514075b41b9feb8ed3638c,406585dd0c632a03bdac20ea66930b15066ec50510406b9185d462c616b0131e,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""c402daeb55c6c6e096d78c3728c0e83efe26ec714843bd1766c5dfa8a6dc37d0"", ""train"": ""c402daeb55c6c6e096d78c3728c0e83efe26ec714843bd1766c5dfa8a6dc37d0"", ""validation"": ""c402daeb55c6c6e096d78c3728c0e83efe26ec714843bd1766c5dfa8a6dc37d0""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,chronaris,completed,2,2,True,True,2dcca856a48130a8155890290fd630f766b9a79bf16490d44b248c97eabb1a57,927f48ae2cf91ee2d716bdf2340aabda91769ea616a79a36a17da1c59c9ca458,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""a2ec1d602c1896baf6bc9505b1b8ee8b4afb3088a01cffa245aeee7ede5b54fe"", ""train"": ""a2ec1d602c1896baf6bc9505b1b8ee8b4afb3088a01cffa245aeee7ede5b54fe"", ""validation"": ""a2ec1d602c1896baf6bc9505b1b8ee8b4afb3088a01cffa245aeee7ede5b54fe""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,physiology_only,completed,2,2,True,True,75ef5d380e035954389bf09dd9048498b58549c466d267eb594ed9686332318f,392e28a5a3cafdc0c261dde69bde0b3f520c267d8adc0111b49879bcbb325b0d,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""ecdd5514bcb5671c2badd19f2332f64552432b7e063213cae3e5522a9f614c5c"", ""train"": ""ecdd5514bcb5671c2badd19f2332f64552432b7e063213cae3e5522a9f614c5c"", ""validation"": ""ecdd5514bcb5671c2badd19f2332f64552432b7e063213cae3e5522a9f614c5c""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,vehicle_only,completed,2,2,True,True,11668ba4d1fb0bb01ec07c8dec314c1e0013187002b1b00a7a820cf19776e127,33b2e594f9bb3de7a063a232e3529f558697609bec50692f6ac5783f6037cd3c,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""811914c27d625b0a3282f060349540c8501e0847cf8e74921b77e292b0a7628b"", ""train"": ""811914c27d625b0a3282f060349540c8501e0847cf8e74921b77e292b0a7628b"", ""validation"": ""811914c27d625b0a3282f060349540c8501e0847cf8e74921b77e292b0a7628b""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,naive_time_sync,completed,2,2,True,True,0550bdcd3d93c340d04acacc3cba1c18e912b6d68b5268b84360946d68e53ee4,614214bbe36cf5516a62008c893b963e7fc2db424640ef974347c0147d07c2c2,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9"", ""train"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9"", ""validation"": ""ec8c079e8810f07e082fea69796c2888b10a21f64400b135e6ff998d9ec271b9""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,mult,completed,2,2,True,True,e8f84262393b0804d211b05f574016186815bb27e879e6e97184b4dad11091e1,c8159d757d57fbaf9a2dfda4370f6f301311f50c9c76e72318b01dd9db041309,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""a08f44116e25f333b2eaaddf9eeb6d335e983e29014e9c35422574e0d62feca4"", ""train"": ""a08f44116e25f333b2eaaddf9eeb6d335e983e29014e9c35422574e0d62feca4"", ""validation"": ""a08f44116e25f333b2eaaddf9eeb6d335e983e29014e9c35422574e0d62feca4""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,contiformer,completed,2,2,True,True,ce3581fe03cc551aa012b0c62268fb87dff9815a3b59073209be07e69f1b7751,982a7b53eda3194fec51ed45204244fa7afdbf1a371049cffe61f67b6a571b3a,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""2f1d0946e67e7e7531d3675bee8d3d2be2297779310b6a4281da70e828bcb5e2"", ""train"": ""2f1d0946e67e7e7531d3675bee8d3d2be2297779310b6a4281da70e828bcb5e2"", ""validation"": ""2f1d0946e67e7e7531d3675bee8d3d2be2297779310b6a4281da70e828bcb5e2""}",False,outer_train_smoke_only
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,chronaris,completed,2,2,True,True,48ed8d11cf2b10b977c294cfa84721c12c3b7aec0135d0c129a491f741d1ef2f,bed06a35a3932330c9188a306d08fb37a1e339ef933e2fc8622e41d173cd2a58,c4b0960d07bb35ee2eb481ec242eefcdae65a7641dd633e6cff6e311c9e9261b,"{""held_out"": ""a83fc570d213242c1b4a513437b65cd2333ae0653393bfff839f73857f59a1e1"", ""train"": ""a83fc570d213242c1b4a513437b65cd2333ae0653393bfff839f73857f59a1e1"", ""validation"": ""a83fc570d213242c1b4a513437b65cd2333ae0653393bfff839f73857f59a1e1""}",False,outer_train_smoke_only
