dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,sample_count,threshold_scope,smoke_only
dingxin_existing_dual_stream,physiology_response_regression,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,mae,0.00012168188889821185,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,rmse,0.0001730614340660516,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,spearman,1.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,macro_f1,1.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,balanced_accuracy,1.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,macro_auprc,1.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,brier_score,3.446694270960031e-06,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,ece_10_bins,0.000774798997637216,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,physiology_only,17,leave_one_view_out__fold01,held_out,high_response_recall,1.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,macro_f1,0.6993722390141827,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,balanced_accuracy,0.7090909090909091,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,macro_auprc,0.8549372401711972,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,brier_score,0.3792146462038359,lower,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,ece_10_bins,0.15241495097136498,lower,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,linear,vehicle_only,17,leave_one_view_out__fold01,validation,mae,0.45173955857753756,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,linear,vehicle_only,17,leave_one_view_out__fold01,validation,rmse,0.6545440121031331,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,linear,vehicle_only,17,leave_one_view_out__fold01,validation,spearman,0.22180200222469412,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,macro_f1,0.4,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,balanced_accuracy,0.5,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,macro_auprc,0.4838071540218445,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,brier_score,0.5381400800305834,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,ece_10_bins,0.20852385285955405,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,linear,vehicle_only,17,leave_one_view_out__fold01,validation,high_response_recall,0.0,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,macro_f1,1.0,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,balanced_accuracy,1.0,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,macro_auprc,1.0,higher,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,brier_score,1.3245847898616421e-06,lower,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,maneuver_intensity_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,ece_10_bins,0.0008131788867412615,lower,available,,31,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,mae,0.5447226295868556,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,rmse,0.7440688217575993,lower,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,physiology_response_regression,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,spearman,0.28720800889877635,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,macro_f1,0.5111111111111111,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,balanced_accuracy,0.525,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,macro_auprc,0.48649400949610405,higher,available,,30,outer_train_smoke_only,True
dingxin_existing_dual_stream,high_physiology_response_classification,minirocket,vehicle_only,17,leave_one_view_out__fold01,validation,brier_score,0.7325114088414373,lower,available,,30,outer_train_smoke_only,True
