stage,dataset_id,candidate_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_14,165,0.5766899766899768,0.6061728395061728
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_17,150,0.4423908344141807,0.46120293847566574
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_18,149,0.5710728217529616,0.5384864689677524
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_19,178,0.5907607679777831,0.6105051292039995
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_21,177,0.5557494608418421,0.6554495672142732
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_22,178,0.5771578564037109,0.6198698698698699
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_23,155,0.5658286023249527,0.5196078431372549
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_24,154,0.5792114695340501,0.6582633053221288
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_25,138,0.5687791697371654,0.5833333333333334
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_26,137,0.5014492753623189,0.5123456790123457
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_5,180,0.6538155203960823,0.6225490196078431
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_6,180,0.5817073170731707,0.5555555555555555
confirm,nasa_csm,fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05,42,objective,combined,subject_9,187,0.4713447472068162,0.48590469450342066
