task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,status,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,29,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36,completed,,,210.0617468745797,194.91793823242188,2.683799982070923,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_view_out,29,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36,completed,,,621.6094784911182,441.2374267578125,1.4196372032165527,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,209.6773656269317,194.51165771484375,2.6788887977600098,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,620.3059980767557,439.35467529296875,1.416660189628601,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.22690494439573,195.1150665283203,2.6859097480773926,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,17,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,620.7266910645941,439.95733642578125,1.4176210165023804,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01,72,completed,,,210.10355519659822,194.98220825195312,2.6843338012695312,,,,,
T2_next_window_physiology_response,v2_no_contrastive_t3_loss,leave_one_sortie_out,29,2,20251005_四01_ACT-4_云_J20_22#01,36,completed,,,621.1265219341386,440.5367431640625,1.4185341596603394,,,,,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,,,,,,0.02702702702702703,0.10810810810810811,0.16216216216216217,0.12633943775120646,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,17,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,,,,,,0.05405405405405406,0.08108108108108109,0.13513513513513514,0.1270698979411261,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_view_out,29,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,0,skipped,,,,,,,,,,empty_train_or_test
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_sortie_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01,0,skipped,,,,,,,,,,empty_train_or_test
T3_paired_pilot_window_retrieval,chronaris_v2_task_heads,leave_one_sortie_out,29,1,20251002_单01_ACT-8_翼云_J16_12#01,0,skipped,,,,,,,,,,empty_train_or_test
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,,,,,,0.02702702702702703,0.10810810810810811,0.16216216216216217,0.12633943775120646,
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
T3_paired_pilot_window_retrieval,v2_no_vehicle_aux_head,leave_one_view_out,17,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,,,,,,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,
